title,company,description,link,location,published_at
Frontend Developer,Asal Technologies,"We are looking for a Frontend Developer with experience in React, HTML5, CSS3, and JavaScript. You will build responsive web applications for international clients. Requirements: 2+ years of experience, strong knowledge of REST APIs and Git.",https://jobs.ps/job/frontend-developer-asal,Ramallah,2026-08-20
Backend Developer (Python),Pexels,"Join our team as a Backend Developer. You will design and maintain RESTful microservices using Python, Django or Flask, PostgreSQL, and Redis. Experience with Docker and cloud platforms (AWS/GCP) is a plus. BSc in Computer Science or equivalent.",https://jobs.ps/job/backend-developer-python-pexels,Gaza,2026-08-18
Full Stack Developer,EXALT Technologies,"We seek a Full Stack Developer skilled in Laravel/PHP and Vue.js or React. Responsibilities include building new features, optimizing database queries, and collaborating with UI/UX designers. Minimum 3 years of experience.",https://jobs.ps/job/full-stack-developer-exalt,Bethlehem,2026-08-15
Data Analyst,Bank of Palestine,"The Data Analyst will collect, process, and perform statistical analysis on business data. Required skills: SQL, Excel, Power BI or Tableau, and Python (Pandas). Strong analytical thinking and reporting in Arabic and English.",https://jobs.ps/job/data-analyst-bop,Gaza,2026-08-12
Mobile App Developer (Flutter),iOme,"We are hiring a Mobile Developer with strong Flutter/Dart experience to build cross-platform apps. Must understand state management (Provider/Riverpod), Firebase integration, and publishing to Google Play and App Store.",https://jobs.ps/job/flutter-developer-iome,Ramallah,2026-08-10
UI/UX Designer,Dara Technologies,"We need a creative UI/UX Designer to design web and mobile interfaces. Must be proficient with Figma, Adobe XD, and prototyping tools. Portfolio demonstrating user-centered design is required.",https://jobs.ps/job/ui-ux-designer-dara,Nablus,2026-08-08
DevOps Engineer,Asal Technologies,"As a DevOps Engineer you will manage CI/CD pipelines, containerized applications (Docker/Kubernetes), and cloud infrastructure on AWS. Experience with Linux administration, Terraform, and monitoring tools (Grafana/Prometheus) is required.",https://jobs.ps/job/devops-engineer-asal,Ramallah,2026-08-05
Sales & Marketing Specialist,Al-Amal Company,"We are looking for a Sales and Marketing Specialist to develop marketing strategies and manage social media campaigns. Excellent communication skills in Arabic and English, experience with Google Ads and SEO, and a business or marketing degree.",https://jobs.ps/job/sales-marketing-al-amal,Hebron,2026-08-03
Accountant,Al-Watania Poultry,"Immediate opening for an Accountant. Duties: manage financial records, prepare reports, and handle tax filings. Requirements: BSc in Accounting, 2+ years of experience, and proficiency in accounting software (QuickBooks/SAP).",https://jobs.ps/job/accountant-al-watania,Jenin,2026-07-30
Technical Support Engineer,The National Bank,"We are hiring a Technical Support Engineer to provide IT support, maintain hardware and networks, and manage user accounts. Knowledge of Windows Server, Active Directory, and networking fundamentals is required.",https://jobs.ps/job/technical-support-national-bank,Hebron,2026-07-28
